PtmP3_FabB-F	Subject_1	3327499	3328692	264	404	11359306	1e-121
PtmP3_FabB-F	Subject_1	9273372	9272134	207	404	11359306	2e-96
PtmP3_FabB-F	Subject_1	4821876	4823072	172	404	11359306	2e-48
PtmP3_FabB-F	Subject_1	11040806	11042020	153	404	11359306	3e-41
PtmP3_FabB-F	Subject_1	3356362	3357204	101	404	11359306	6e-19
PtmP3_FabB-F	Subject_1	3198801	3198175	69	404	11359306	3e-14
PtmP3_FabB-F	Subject_1	10694127	10693321	85	404	11359306	1e-13
PtmP3_FabB-F	Subject_1	10630520	10631206	78	404	11359306	2e-13
PtmP3_FabB-F	Subject_1	3539023	3538367	70	404	11359306	8e-13
PtmP3_FabB-F	Subject_1	4679450	4680022	72	404	11359306	1e-12
PtmP3_FabB-F	Subject_1	3528044	3527472	63	404	11359306	4e-12
PtmP3_FabB-F	Subject_1	10683492	10682692	78	404	11359306	4e-12
PtmP3_FabB-F	Subject_1	10688823	10688011	79	404	11359306	7e-12
PtmP3_FabB-F	Subject_1	3524478	3523669	80	404	11359306	1e-11
PtmP3_FabB-F	Subject_1	10647673	10648479	79	404	11359306	1e-10
PtmP3_FabB-F	Subject_1	4815205	4814405	85	404	11359306	2e-10
PtmP3_FabB-F	Subject_1	3520905	3520468	51	404	11359306	2e-10
PtmP3_FabB-F	Subject_1	3351196	3351606	52	404	11359306	2e-10
PtmP3_FabB-F	Subject_1	10696872	10696363	55	404	11359306	3e-10
PtmP3_FabB-F	Subject_1	10652581	10653273	73	404	11359306	5e-10
PtmP3_FabB-F	Subject_1	9389600	9389914	36	404	11359306	8e-10
PtmP3_FabB-F	Subject_1	10625568	10626359	81	404	11359306	1e-09
PtmP3_FabB-F	Subject_1	10640652	10641458	78	404	11359306	2e-09
PtmP3_FabB-F	Subject_1	3536182	3535610	59	404	11359306	2e-09
