PtmP3_FabB-F	Subject_1	4665068	4663854	262	404	5459548	4e-130
PtmP3_FabB-F	Subject_1	3967572	3968777	215	404	5459548	1e-88
PtmP3_FabB-F	Subject_1	2411218	2410013	175	404	5459548	9e-57
PtmP3_FabB-F	Subject_1	3167934	3166696	137	404	5459548	2e-43
PtmP3_FabB-F	Subject_1	2849426	2848218	150	404	5459548	1e-37
PtmP3_FabB-F	Subject_1	2859202	2857970	135	404	5459548	3e-32
PtmP3_FabB-F	Subject_1	4659872	4659369	66	404	5459548	4e-16
PtmP3_FabB-F	Subject_1	3166648	3165485	123	404	5459548	4e-15
PtmP3_FabB-F	Subject_1	2857943	2856741	111	404	5459548	3e-14
PtmP3_FabB-F	Subject_1	3574447	3573833	64	404	5459548	8e-14
PtmP3_FabB-F	Subject_1	2852297	2851572	86	404	5459548	2e-12
PtmP3_FabB-F	Subject_1	3078196	3077645	62	404	5459548	4e-10
PtmP3_FabB-F	Subject_1	3265418	3266230	79	404	5459548	6e-10
PtmP3_FabB-F	Subject_1	4661904	4661290	67	404	5459548	1e-09
PtmP3_FabB-F	Subject_1	2425087	2425467	43	404	5459548	1e-09
