target_name	target id	gbid	score_final	distance	homologs	homologs list	target ubiquity	copy number	Spearman correlation	p value	coevolution coefficient	antismashfile	cluster_num	cluster_type	gene_name	species	phyla	true positive	true positives homologs	score distance	score homologs	score target ubiquity	score copy number	score coevolution
Probable ABC transporter ATP-binding protein yhbG	DEG10180475	NGNT01000007	3	145	3	[u'JXSX01000001', u'LT607733', u'NAPR01000003']	87	5	0.28	0.0	28.3955324362	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/NGNT01000007/index.html	cluster-2	t1pks-nucleoside-nrps	CA850_14615	Micromonospora echinospora	Actinobacteria	False	False	1	1	0	1	0
Cell division ATP-binding protein ftsE	DEG10180522	CP014960	1	8699	0	None	89	26	0.46	0.0	35.603360947	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/CP014960/index.html	cluster-2	t1pks	A3O05_09900	Mycobacterium abscessus	Actinobacteria	False	False	0	0	0	1	0
30S ribosomal protein S20	DEG10180004	JOID01000025	2	9243	0	None	8	1	0.63	0.0	14.339762877	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/JOID01000025/index.html	cluster-1	transatpks-t1pks-otherks	ctg1_88	Streptomyces albus subsp. albus	Actinobacteria	False	False	0	0	1	0	1
Probable ABC transporter ATP-binding protein yhbG	DEG10180475	PSNW01000009	1	7043	1	[u'NZ_FOFS01000003']	87	1	0.28	0.0	25.0223225357	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/PSNW01000009/index.html	cluster-1	t1pks-otherks	C3942_16115	Solimonas fluminis	Proteobacteria	False	False	0	1	0	0	0
Phosphoglycerate kinase (EC 2.7.2.3)	DEG10180437	DDLX01000018	1	6099	0	None	4	1	-1000.0	-1000.0	0.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/DDLX01000018/index.html	cluster-1	t3pks-t1pks	ctg1_22	Cytophagales bacterium UBA2561 (coral metagenome)	Bacteroidetes	False	False	0	0	1	0	0
Protein yjgF	DEG10180597	CP014840	3	7343	0	None	11	2	0.9	0.04	9.91629720225	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP014840_1780359_2369896/index.html	cluster-2	transatpks-nrps	ctg1_186	Bacillus subtilis subsp. globigii	Firmicutes	False	False	0	0	1	1	1
Crossover junction endodeoxyribonuclease ruvC (EC 3.1.22.4)	DEG10180312	FN667742	2	6345	1	[u'MKGR01000017']	3	1	nan	nan	5.7148178294	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/FN667742_1917596_2218855/index.html	cluster-2	t1pks-nrps	ctg1_101	Xenorhabdus nematophila ATCC 19061	Proteobacteria	False	False	0	1	1	0	0
Seryl-tRNA synthetase (EC 6.1.1.11)	DEG10180145	MTKC01000003	4	1631	3	[u'AP010968', u'JODF01000057', u'JQLN01000002']	19	1	0.68	0.0	10.5872999762	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MTKC01000003_4048685_4896337/index.html	cluster-2	t1pks-otherks	ctg1_312	Streptomyces griseofuscus	Actinobacteria	False	False	1	1	1	0	1
Dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61)	DEG10180125	AFHW01000010	1	5133	0	None	10	1	0.21	0.64	10.6206026102	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/AFHW01000010/index.html	cluster-1	transatpks	ctg1_37	Paenibacillus elgii B69	Firmicutes	False	False	0	0	1	0	0
Cysteinyl-tRNA synthetase (EC 6.1.1.16)	DEG10180099	ACYY01000006	2	3721	0	None	8	1	nan	nan	0.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/ACYY01000006/index.html	cluster-1	t1pks-terpene	Rsw2DRAFT_1263	Rhodobacter sp. SW2	Proteobacteria	False	False	1	0	1	0	0
Ribonuclease T (EC 3.1.13.-)	DEG10180275	LN901323	0	8422	0	None	1	1	-1000.0	-1000.0	0.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LN901323/index.html	cluster-1	transatpks-t1pks-nrps	ctg1_190	Legionella saoudiensis	Proteobacteria	False	False	0	0	0	0	0
(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase (EC 4.2.1.-)	DEG10180047	CP012109	3	108	0	None	41	2	0.8	0.0	6.79008505332	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP012109_5132791_5459475/index.html	cluster-2	t1pks-nrps	ctg1_133	Myxococcus hansupus	Proteobacteria	False	False	1	0	0	1	1
Elongation factor P	DEG10180585	CP019913	2	1911	0	None	4	1	nan	nan	0.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/CP019913/index.html	cluster-1	t1pks-otherks	B2D07_11660	Desulfococcus multivorans	Proteobacteria	False	False	1	0	1	0	0
DNA gyrase subunit A (EC 5.99.1.3)	DEG10180351	LGJF01000001	3	3493	0	None	4	2	-1000.0	-1000.0	0.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LGJF01000001_890531_1550389/index.html	cluster-2	transatpks-nrps	ctg1_414	Bacillus sp. FJAT-27238	Firmicutes	False	False	1	0	1	1	0
Probable transport ATP-binding protein msbA	DEG10180148	CP015756	2	7854	0	None	67	9	0.51	0.0	8.65269201671	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP015756_2287592_2593534/index.html	cluster-1	t1pks-nrps	ctg1_137	Clostridium estertheticum subsp. estertheticum	Firmicutes	False	False	0	0	0	1	1
Cell division ATP-binding protein ftsE	DEG10180522	NZ_LJGT01000041	0	6887	0	None	89	0	0.46	0.0	34.232523768	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/NZ_LJGT01000041/index.html	cluster-3	t1pks-otherks	ctg1_1393	Streptomyces abyssalis	Actinobacteria	False	False	0	0	0	0	0
3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.60)	DEG10180156	DLYE01000015	1	13	0	None	126	1	0.37	0.0	20.3585322954	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/DLYE01000015/index.html	cluster-1	t1pks-otherks	DCF71_01850	Gemmatimonadetes bacterium (hydrothermal vent metagenome)	Gemmatimonadetes	False	False	1	0	0	0	0
UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)	DEG10180210	CP031222	4	2396	0	None	7	22	1.0	0.0	12.9578038449	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/CP031222/index.html	cluster-1	t1pks-otherks	HYN46_01840	Moraxellaceae bacterium HYN0046	Proteobacteria	False	False	1	0	1	1	1
Protein yfjF	DEG10180411	DEHS01000029	0	7636	0	None	1	1	-1000.0	-1000.0	0.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/DEHS01000029/index.html	cluster-1	t1pks-nrps	ctg1_9	Legionellaceae bacterium UBA2794 (EBPR bioreactor metagenome)	Proteobacteria	False	False	0	0	0	0	0
Chromosomal replication initiator protein dnaA	DEG10180542	FZPS01000083	1	9119	0	None	4	1	-1000.0	-1000.0	0.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/FZPS01000083/index.html	cluster-1	t1pks	ctg1_803	metagenome	metagenomes	False	False	0	0	1	0	0
N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)	DEG10180564	NKQZ01000001	1	8799	7	[u'LQOK01000037', u'LT841359', u'LZHV01000055', u'LZKE01000216', u'LZKS01000106', u'MVIK01000003', u'NAVI01000034']	26	1	0.3	0.0	8.59863521886	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/NKQZ01000001_5797618_6105318/index.html	cluster-1	t3pks-t1pks	ctg1_115	Mycobacterium persicum	Actinobacteria	False	False	0	1	0	0	0
Methionyl-tRNA synthetase (EC 6.1.1.10)	DEG10180342	CP030041	2	8611	0	None	6	1	1.0	0.0	12.3054073381	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP030041_4265049_4584402/index.html	cluster-1	t1pks-nrps	ctg1_126	Echinicola strongylocentroti	Bacteroidetes	False	False	0	0	1	0	1
Hypothetical protein ybeA	DEG10180110	QKYU01000020	2	2664	0	None	2	1	nan	nan	5.7178277697	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/QKYU01000020/index.html	cluster-1	t1pks	C8P66_12050	Humitalea rosea	Proteobacteria	False	False	1	0	1	0	0
Lipoprotein releasing system ATP-binding protein lolD	DEG10180185	FNSG01000001	2	4332	0	None	132	63	0.26	0.0	24.6952541863	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/FNSG01000001_7487702_8263742/index.html	cluster-2	t1pks	ctg1_130	Streptomyces sp. 2112.2	Actinobacteria	False	False	1	0	0	1	0
Prolyl-tRNA synthetase (EC 6.1.1.15)	DEG10180054	LOJP01000001	1	7400	0	None	9	1	nan	nan	0.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LOJP01000001_2263386_2877710/index.html	cluster-1	t1pks	ctg1_165	Actinoplanes sp. TFC3	Actinobacteria	False	False	0	0	1	0	0
UDP-N-acetylglucosamine--N-acetylmuramyl-(Pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.-)	DEG10180019	LZJI01000187	1	9229	0	None	5	1	1.0	nan	18.8190045249	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LZJI01000187/index.html	cluster-1	t1pks	A5695_04490	Mycobacterium sp. E1747	Actinobacteria	False	False	0	0	1	0	0
Pantothenate kinase (EC 2.7.1.33)	DEG10180567	CP003838	0	8687	0	None	1	1	-1000.0	-1000.0	0.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP003838_2199855_2537081/index.html	cluster-1	transatpks	ctg1_153	Bacillus velezensis AS43.3	Firmicutes	False	False	0	0	0	0	0
3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.60)	DEG10180156	MGZJ01000075	1	447	0	None	126	1	0.37	0.0	12.6203134394	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MGZJ01000075/index.html	cluster-1	t1pks-otherks	A2076_19130	Geobacteraceae bacterium GWC2_53_11 (subsurface metagenome)	Proteobacteria	False	False	1	0	0	0	0
Hypothetical ABC transporter ATP-binding protein ydcT	DEG10180246	CP029426	3	3867	0	None	39	16	0.71	0.0	4.16717325228	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP029426_2627864_3027500/index.html	cluster-1	t1pks	ctg1_134	Bradyrhizobium sp. 2 39S1MB	Proteobacteria	False	False	1	0	0	1	1
Hypothetical transport protein yfaV	DEG10180356	CP008967	2	9705	0	None	7	1	1.0	0.0	0.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP008967_1105269_1406045/index.html	cluster-2	t3pks-t1pks	ctg1_167	Mycobacterium tuberculosis	Actinobacteria	False	False	0	0	1	0	1
Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16)	DEG10180545	AUSV01000035	2	4998	0	None	10	1	1.0	nan	0.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/AUSV01000035/index.html	cluster-1	transatpks-lantipeptide	PL2TA16_03085	Pseudoalteromonas luteoviolacea 2ta16	Proteobacteria	False	False	1	0	1	0	0
Lipoprotein releasing system ATP-binding protein lolD	DEG10180185	CP022545	1	8672	0	None	132	94	0.26	0.0	61.7459286303	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/CP022545/index.html	cluster-1	t1pks	CGL27_42195	Streptomyces sp. 11-1-2	Actinobacteria	False	False	0	0	0	1	0
Glutamate-1-semialdehyde 2,1-aminomutase (EC 5.4.3.8)	DEG10180034	FMBW01000077	2	6	3	[u'CP015362', u'JNLT01000009', u'RBDY01000022']	207	1	0.47	0.0	26.3557110643	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/FMBW01000077/index.html	cluster-1	t1pks-nrps	GA0115234_110938	Streptomyces sp. DvalAA-43	Actinobacteria	False	False	1	1	0	0	0
Elongation factor P	DEG10180585	NZ_MAEW01000011	1	5515	0	None	4	0	nan	nan	20.5384675436	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/NZ_MAEW01000011/index.html	cluster-1	t2pks-t1pks	B4400_RS13080	Mycobacterium sp. D16Q13	Actinobacteria	False	False	0	0	1	0	0
Pyrroline-5-carboxylate reductase (EC 1.5.1.2)	DEG10180072	AGCF01000001	3	4199	0	None	7	2	-1.0	nan	0.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/AGCF01000001_2581033_3158615/index.html	cluster-3	t1pks	ctg1_391	Rhodococcus erythropolis XP	Actinobacteria	False	False	1	0	1	1	0
Ribonuclease III (EC 3.1.26.3)	DEG10180397	AEZF01000001	3	4997	6	[u'CTEE01000001', u'FUEZ01000003', u'LQOY01000025', u'LT721901', u'LZJB01000625', u'LZSC01000072']	10	1	0.39	0.06	1.48471800068	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/AEZF01000001/index.html	cluster-2	t1pks-nrps	ctg1_440	Mycobacterium tuberculosis variant bovis BCG str. ATCC 35733 (Mycobacterium bovis BCG str. Denmark 1331)	Actinobacteria	False	False	1	1	1	0	0
Large-conductance mechanosensitive channel	DEG10180490	CP016174	2	7637	0	None	7	15	-1.0	nan	0.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/CP016174/index.html	cluster-1	t1pks	SD37_05060	Amycolatopsis orientalis	Actinobacteria	False	False	0	0	1	1	0
Lipoprotein releasing system ATP-binding protein lolD	DEG10180185	QHXD01000339	1	1229	0	None	132	1	0.26	0.0	-1000.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/QHXD01000339/index.html	cluster-1	transatpks	DMG11_20360	Acidobacteria bacterium (soil metagenome)	Acidobacteria	False	False	1	0	0	0	0
Elongation factor Tu	DEG10180508	NZ_MLYO01000014	2	3145	0	None	6	0	-1000.0	-1000.0	-1000.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/NZ_MLYO01000014/index.html	cluster-1	t1pks-otherks	BIV23_RS07540	Streptomyces sp. MUSC 1	Actinobacteria	False	False	1	0	1	0	0
NifU-like protein	DEG10180387	CP012036	0	5151	0	None	1	1	-1000.0	-1000.0	0.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP012036_2628478_2946193/index.html	cluster-1	t1pks-nrps	ctg1_149	Nostoc piscinale CENA21	Cyanobacteria	False	False	0	0	0	0	0
