target_name	genbankid	targetid	ks_start	ks_end	arget_start	target_end	cluster_num	cluster_type	cluster_coord	cluster_len	species	phyla	count	score	copynum	genome_size	complete	antismashfile
Serine--tRNA ligase	CM002273	sp_P0A8L1_SYS_ECOLI	6943521	6943944	6953156	6954433	cluster-2	t1pks-butyrolactone-nrps	6873273-7007517	9212	Streptomyces sp. PVA 94-07	Actinobacteria	0	-1.00	0	7007517	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CM002273_6748820_7007517/index.html
Acetylornithine/succinyldiaminopimelate aminotransferase	MMDX01000012	sp_P18335_ARGD_ECOLI	229092	229516	222475	223677	cluster-2	t3pks-t1pks	207912-241359	5415	Mycobacterium tuberculosis	Actinobacteria	0	-1.00	0	1470377	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/MMDX01000012_0_241359/index.html
2-succinylbenzoate--CoA ligase	FOKG01000022	sp_P37353_MENE_ECOLI	42391	42808	32089	33732	cluster-1	t1pks	22283-68834	8659	Amycolatopsis marina	Actinobacteria	0	-1.00	0	100740	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/FOKG01000022/index.html
methionine aminopeptidase FpaI	KP143770	fpaI_methionine_aminopeptidase	24188	24613	33496	34497	cluster-1	t1pks-nrps	1-37175	8883	Myxococcus virescens	Proteobacteria	0	-1.00	0	37175	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/KP143770/index.html
Elongation factor Tu 1	KZ679048	sp_P0CE47_EFTU1_ECOLI	390849	391268	379769	380962	cluster-3	t1pks	370751-394417	9887	Streptomyces sp. A217	Actinobacteria	0	-1.00	0	394417	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KZ679048/index.html
Acetylornithine/succinyldiaminopimelate aminotransferase	LZSC01000046	sp_P18335_ARGD_ECOLI	127849	128274	121222	122418	cluster-1	t3pks-t1pks	106726-164869	5431	Mycobacterium sp. 1100029.7	Actinobacteria	0	-1.00	0	176829	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LZSC01000046/index.html
UDP-N-acetylenolpyruvoylglucosamine reductase MurB	JOCQ01000041	sp_P08373_MURB_ECOLI	18057	18482	26921	28024	cluster-1	t1pks-nrps	1-83005	8439	Streptomyces rimosus subsp. rimosus	Actinobacteria	0	-1.00	0	83005	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/JOCQ01000041/index.html
ATP-dependent Clp protease proteolytic subunit	CP020046	sp_P0A6G7_CLPP_ECOLI	355848	356282	354674	355276	cluster-1	hserlactone-transatpks-t1pks-nrps	335329-397194	572	Thiomonas intermedia	Proteobacteria	0	-1.00	2	3301026	True	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP020046_207075_639878/index.html
Acetylornithine/succinyldiaminopimelate aminotransferase	PEDI01000062	sp_P18335_ARGD_ECOLI	13580	14007	6882	8072	cluster-1	t3pks-t1pks	1-27900	5508	Mycobacterium marinum	Actinobacteria	0	-1.00	0	27900	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/PEDI01000062/index.html
Alanine racemase	CP015411	sp_P0A6B4_ALR1_ECOLI	404960	405370	398322	399404	cluster-3	t1pks-nrps	384240-456181	5556	Pseudoalteromonas luteoviolacea	Proteobacteria	0	-1.00	0	4902887	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP015411_8874_557635/index.html
