target_name	genbankid	targetid	ks_start	ks_end	arget_start	target_end	cluster_num	cluster_type	cluster_coord	cluster_len	species	phyla	count	score	copynum	genome_size	complete	antismashfile
Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16)	QUNO01000001	DEG10180545	299076	299515	307034	308851	cluster-1	t1pks-otherks	274404-324998	7519	Kutzneria buriramensis	Actinobacteria	0	-1.00	2	1025241	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/QUNO01000001_147068_453105/index.html
Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)	NHML01000034	DEG10180225	38665	39083	32658	33455	cluster-1	t1pks-terpene	1-62960	5210	Rhodococcus sp. NCIMB 12038	Actinobacteria	0	-1.00	1	116346	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/NHML01000034/index.html
Glutamate aspartate transport ATP-binding protein gltL	LQIU01000001	DEG10180114	410610	411036	400836	401876	cluster-1	t1pks	390594-416421	8734	Mycobacterium sp. IS-1496	Actinobacteria	0	-1.00	2	416421	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LQIU01000001/index.html
COB(I)alamin adenosyltransferase (EC 2.5.1.17)	CSXD01000029	DEG10180219	105292	105712	115364	115978	cluster-1	t1pks	75945-117960	9652	Mycobacteroides abscessus	Actinobacteria	0	-1.00	0	124181	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CSXD01000029/index.html
Hypothetical oxidoreductase yciK (EC 1.-.-.-)	BBPO01000048	DEG10180220	41479	41737	46776	47507	cluster-1	t2pks-t1pks	5272-57367	5039	Streptacidiphilus neutrinimicus	Actinobacteria	0	-1.00	1	57367	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/BBPO01000048/index.html
Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (EC 6.4.1.2)	BDBD01000011	DEG10180052	1012574	1013030	1006722	1008416	cluster-1	nrps-t1pks-otherks	992563-1114385	4158	Nocardia coubleae NBRC 108252	Actinobacteria	0	-1.00	1	1290034	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/BDBD01000011_867822_1244349/index.html
3-oxoacyl-[acyl-carrier-protein] synthase I (EC 2.3.1.41)	JFAX01000004	DEG10180363	52106	52509	52101	53339	cluster-1	t1pks	10833-58506	408	Candidatus Accumulibacter sp. SK-12 (bioreactor sludge metagenome)	Proteobacteria	0	-1.00	1	229045	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/JFAX01000004/index.html
Hypothetical protein ygfY	PUWT01000024	DEG10180431	75203	75623	66640	66906	cluster-1	t1pks-nrps	1-97188	8297	Photorhabdus luminescens	Proteobacteria	0	-1.00	1	97188	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/PUWT01000024/index.html
Lipoprotein releasing system ATP-binding protein lolD	DLGZ01000047	DEG10180185	18825	19252	14230	14958	cluster-1	t1pks	1-46503	3867	Verrucomicrobiaceae bacterium UBA7681 (biofilm metagenome)	Verrucomicrobia	0	-1.00	2	227756	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/DLGZ01000047/index.html
Hypothetical protein ycfD	QZCH01000007	DEG10180189	98773	99200	109128	110282	cluster-1	t1pks-nrps	69512-128342	9928	Motilimonas sp. PLHSC7-2	Proteobacteria	0	-1.00	1	152310	False	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/QZCH01000007/index.html
