target_name	target id	gbid	score_final	distance	homologs	homologs list	target ubiquity	copy number	Spearman correlation	p value	coevolution coefficient	antismashfile	cluster_num	cluster_type	gene_name	species	phyla	true positive	true positives homologs	score distance	score homologs	score target ubiquity	score copy number	score coevolution
Elongation factor G	sp_P0A6M8_EFG_ECOLI	CDLW01000001	2	2933	0	None	12	1	0.45	0.19	4.72619047619	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CDLW01000001_4147714_4448973/index.html	cluster-1	transatpks	ctg1_9	Ralstonia solanacearum	Proteobacteria	False	False	1	0	1	0	0
Aminodeoxychorismate synthase component 1	sp_P05041_PABB_ECOLI	CERC01023301	1	7257	0	None	26	1	0.55	0.0	5.75988637213	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/CERC01023301/index.html	cluster-1	t1pks-otherks	ctg1_13	marine metagenome	metagenomes	False	False	0	0	0	0	1
Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	sp_P65636_ODP2_STAAN	CP029034	2	8383	0	None	6	4	1.0	nan	10.5075460551	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP029034_1812205_2113473/index.html	cluster-1	transatpks	ctg1_95	Bacillus velezensis	Firmicutes	False	False	0	0	1	1	0
UDP-3-O-acyl-N-acetylglucosamine deacetylase	sp_P0A725_LPXC_ECOLI	LPKA01000024	4	55	8	[u'AP013062', u'BBSL01000075', u'CP009435', u'FNCJ01000011', u'FUZW01000002', u'LAVN01000003', u'LOWB01000076', u'MUSL01000063']	15	1	0.75	0.0	9.70248096186	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LPKA01000024/index.html	cluster-1	t1pks	WL93_10050	Burkholderia diffusa	Proteobacteria	False	False	1	1	1	0	1
Pyruvate dehydrogenase E1 component subunit beta	sp_P99063_ODPB_STAAN	BBOZ01000001	1	3641	0	None	40	1	0.33	0.0	11.5515976951	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/BBOZ01000001/index.html	cluster-1	t2pks-t1pks	ctg1_132	Microbispora sp. NBRC 110460	Actinobacteria	False	False	1	0	0	0	0
Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	sp_P65636_ODP2_STAAN	LT717701	2	3924	0	None	6	1	1.0	nan	13.4883864591	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LT717701_2065835_2924647/index.html	cluster-1	t1pks	ctg1_224	Mycobacterium sp. AB308	Actinobacteria	False	False	1	0	1	0	0
Elongation factor 4	sp_P60785_LEPA_ECOLI	JOID01000025	1	9724	0	None	5	1	nan	nan	0.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/JOID01000025/index.html	cluster-1	transatpks-t1pks-otherks	ctg1_89	Streptomyces albus subsp. albus	Actinobacteria	False	False	0	0	1	0	0
Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	sp_P12995_BIOA_ECOLI	PNXZ01000002	0	8996	0	None	29	1	0.49	0.0	13.1291859084	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/PNXZ01000002/index.html	cluster-2	t1pks	C0Z17_03165	Paraburkholderia caryophylli	Proteobacteria	False	False	0	0	0	0	0
3-oxoacyl-[acyl-carrier-protein] reductase FabG	sp_P0AEK2_FABG_ECOLI	CP024608	3	454	0	None	4	1	0.94	0.0	2.41109315013	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP024608_4051218_4404784/index.html	cluster-1	t1pks-nrps	ctg1_131	Massilia sp. B2	Proteobacteria	False	False	1	0	1	0	1
UDP-N-acetylglucosamine 1-carboxyvinyltransferase MurA	sp_P0A749_MURA_ECOLI	CP001055	1	5997	0	None	6	1	0.32	0.68	0.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP001055_1052232_1353611/index.html	cluster-2	t1pks	ctg1_139	Elusimicrobium minutum Pei191	Elusimicrobia	False	False	0	0	1	0	0
Chaperone protein HtpG	sp_P0A6Z3_HTPG_ECOLI	JX157625	1	8096	0	None	21	1	0.82	0.0	15.8213766301	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/JX157625/index.html	cluster-1	t1pks	AFP87516.1	Streptomyces sp. CNQ-418	Actinobacteria	False	False	0	0	0	0	1
30S ribosomal protein S9	DEG10180480	KQ949079	1	9021	0	None	2	1	nan	nan	1.92144630852	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KQ949079/index.html	cluster-1	t1pks	AQJ91_10795	Streptomyces sp. RV15	Actinobacteria	False	False	0	0	1	0	0
30S ribosomal protein S13	DEG10180491	HG799465	1	8465	0	None	3	0	-1000.0	-1000.0	-1000.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/HG799465/index.html	cluster-1	t1pks-otherks	ctg1_672	Gemmata massiliana	Planctomycetes	False	False	0	0	1	0	0
Transcriptional regulatory protein WalR	sp_Q9RDT5_WALR_STAAU	CP031320	1	3190	0	None	72	1	0.39	0.0	18.4960025062	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/CP031320/index.html	cluster-35	t1pks-nrps	DVA86_33840	Streptomyces armeniacus	Actinobacteria	False	False	1	0	0	0	0
Transcriptional regulatory protein WalR	sp_Q9RDT5_WALR_STAAU	QEKW01000009	0	5525	0	None	72	1	0.39	0.0	11.2802692853	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/QEKW01000009/index.html	cluster-1	t1pks	C8D89_10954	Actinomycetospora cinnamomea	Actinobacteria	False	False	0	0	0	0	0
Acetylornithine/succinyldiaminopimelate aminotransferase	sp_P18335_ARGD_ECOLI	LPDO01000022	3	4639	1	[u'NKFM01000062']	56	1	0.63	0.0	14.8706176209	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LPDO01000022/index.html	cluster-1	bacteriocin-t1pks-nrps	WK53_24790	Burkholderia ubonensis	Proteobacteria	False	False	1	1	0	0	1
Cysteinyl-tRNA synthetase	DEG10180099	ACYY01000006	2	3721	0	None	8	1	nan	nan	0.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/ACYY01000006/index.html	cluster-1	t1pks-terpene	Rsw2DRAFT_1263	Rhodobacter sp. SW2	Proteobacteria	False	False	1	0	1	0	0
Transcriptional regulatory protein WalR	sp_Q9RDT5_WALR_STAAU	DDGH01000006	1	105	0	None	72	1	0.39	0.0	11.0501688246	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/DDGH01000006/index.html	cluster-1	t1pks	ctg1_98	Rhodopirellula sp. UBA1907 (marine metagenome)	Planctomycetes	False	False	1	0	0	0	0
Acetylornithine/succinyldiaminopimelate aminotransferase	sp_P18335_ARGD_ECOLI	FMCX01000007	2	3999	0	None	56	1	0.63	0.0	5.24990964572	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/FMCX01000007/index.html	cluster-1	t1pks-otherks	GA0070564_10770	Micromonospora mirobrigensis	Actinobacteria	False	False	1	0	0	0	1
Asparaginyl-tRNA synthetase	DEG10180155	RAVZ01000004	1	9219	0	None	5	1	0.7	0.19	9.4634550198	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/RAVZ01000004/index.html	cluster-1	t1pks-terpene-nrps	D7V88_01270	Corallococcus sp. CA054A	Proteobacteria	False	False	0	0	1	0	0
D-alanine-D-alanine ligase B	sp_P07862_DDLB_ECOLI	NZ_NITY01000011	2	2258	0	None	7	0	-0.6	0.4	0.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/NZ_NITY01000011/index.html	cluster-1	t1pks-nrps	Xmau_RS14575	Xenorhabdus mauleonii	Proteobacteria	False	False	1	0	1	0	0
UDP-N-acetylenolpyruvoylglucosamine reductase MurB	sp_P08373_MURB_ECOLI	LQPI01000032	1	9192	0	None	4	1	0.4	0.6	8.12802511975	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LQPI01000032/index.html	cluster-1	t1pks-nrps	AWC18_06390	Mycolicibacter nonchromogenicus	Actinobacteria	False	False	0	0	1	0	0
Transcriptional regulatory protein WalR	sp_Q9RDT5_WALR_STAAU	KB907212	2	5895	1	[u'AULB01000016']	72	3	0.39	0.0	9.98231461463	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KB907212/index.html	cluster-1	t1pks	ctg1_200	Actinomadura atramentaria DSM 43919	Actinobacteria	False	False	0	1	0	1	0
Beta-lactamase (Fragment)	tr_A0A3G5FN01_A0A3G5FN01_ECOLX	NZ_KB907150	1	7268	0	None	19	0	-0.08	0.71	0.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/NZ_KB907150/index.html	cluster-2	t1pks-PUFA-otherks	G334_RS0100715	Moritella marina ATCC 15381	Proteobacteria	False	False	0	0	1	0	0
Aminodeoxychorismate synthase component 2	sp_P00903_PABA_ECOLI	KV861362	3	817	2	[u'CP019724', u'NQOS01000067']	24	3	0.42	0.0	19.5691178951	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/KV861362_0_417699/index.html	cluster-1	lantipeptide-t1pks-nrps	ctg1_82	Streptomyces sampsonii	Actinobacteria	False	False	1	1	0	1	0
30S ribosomal protein S20	DEG10180004	JAGZ01000003	2	5768	7	[u'BFAB01000003', u'LZLQ01000015', u'LZLS01000197', u'LZLV01000004', u'LZSE01000029', u'LZSZ01000063', u'NKRI01000002']	8	1	0.22	0.27	3.04240766074	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/JAGZ01000003/index.html	cluster-1	t1pks-nrps	ctg1_71	Mycobacterium genavense ATCC 51234	Actinobacteria	False	False	0	1	1	0	0
2-succinylbenzoate--CoA ligase	sp_P37353_MENE_ECOLI	BBON01000034	2	944	0	None	15	1	0.33	0.05	21.1229682758	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/BBON01000034/index.html	cluster-1	t1pks-nrps	ctg1_1	Streptomyces sp. NBRC 109436	Actinobacteria	False	False	1	0	1	0	0
Protein-export membrane protein SecG	sp_P0AG99_SECG_ECOLI	LGRF01000002	2	6097	1	[u'MJLZ01000036']	2	1	nan	nan	0.407597097738	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/LGRF01000002_235269_536549/index.html	cluster-2	t1pks-nrps	ctg1_118	Pectobacterium carotovorum subsp. brasiliense	Proteobacteria	False	False	0	1	1	0	0
Transcriptional regulatory protein WalR	sp_Q9RDT5_WALR_STAAU	NZ_KQ948463	1	3981	0	None	72	0	0.39	0.0	9.80553994785	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output/NZ_KQ948463/index.html	cluster-1	t1pks-otherks	AQJ27_RS30510	Streptomyces olivochromogenes	Actinobacteria	False	False	1	0	0	0	0
Methionyl-tRNA synthetase	DEG10180342	CP030041	2	8611	0	None	6	1	0.9	0.01	11.4460884706	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/CP030041_4265049_4584402/index.html	cluster-1	t1pks-nrps	ctg1_126	Echinicola strongylocentroti	Bacteroidetes	False	False	0	0	1	0	1
Lon protease	sp_P0A9M0_LON_ECOLI	BAYA01000053	1	9796	0	None	7	1	0.2	0.8	0.0	/Users/gvandova/TargetMining/Antismash_gbids/antismash_output_assemblies_all/BAYA01000053/index.html	cluster-1	t1pks	ctg1_19	Paraburkholderia bannensis NBRC 103871	Proteobacteria	False	False	0	0	1	0	0
